country,pillar,direction,years_applicable,t5_magnitude,did_mean,blended_magnitude,ci_lower_95,ci_upper_95,confidence,blend_method,tier_v2,source,policy_name,is_task9
Czech Republic,Digital,positive,2024-2027,9.0,1.9,6.87,1.66,2.14,High,T5(70%) + DiD(30%),High,"Ministry of Industry and Trade, Digital Economy Strategy (2023)",Digital Economy Strategy 2023‑2027,False
Czech Republic,FDI,negative,2024-2027,-12.0,4.73,-1.96,4.45,5.0,Medium,T5(40%) + DiD(60%),High,"UNCTAD, World Investment Report 2024 – Czech Republic",FDI Promotion Act 2023,False
Spain,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,ECB Press Releases 2023; Banco de España Monetary Bulletin 2023,ECB Rate Hikes 2023,False
Spain,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023 – Spain Chapter,FDI Inflow Decline 2023,False
Spain,Manufacturing,positive,2024-2027,9.0,-1.92,5.72,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Spain, 2023",Plan Nacional de Innovación 2022-2025,False
Spain,Digital,positive,2024-2027,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"World Bank Country Overview – Spain, 2023",Digital Spain 2025 Strategy,False
Malaysia,FDI,positive,2024-2027,10.0,-3.19,2.09,-3.38,-3.0,Medium,T5(40%) + DiD(60%),High,"World Bank, Malaysia Investment Climate Assessment 2023, section 4.2",MIDA Investment Promotion Strategy 2023-2027,False
Malaysia,Banking,negative,2024-2025,-4.0,1.32,-2.4,1.1,1.55,High,T5(70%) + DiD(30%),High,"Bank Negara Malaysia, Monetary Policy Statement March 2023",BNM Repo Rate Hold 2023,False
Malaysia,Manufacturing,positive,2024-2027,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation, Malaysia, 2024, p.23",Industrial Master Plan 2023‑2030,False
Malaysia,Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"UNCTAD World Investment Report 2024, Malaysia chapter, p.7",MyDIGITAL Blueprint 2023‑2027,False
Ireland,FDI,positive,2024-2027,12.0,-3.19,7.44,-3.38,-3.0,High,T5(70%) + DiD(30%),High,"Ireland Department of Enterprise, Trade and Employment – ""FDI Promotion Strategy 2023‑2027"" (2023)",FDI Promotion Strategy 2023‑2027,False
Ireland,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,Central Bank of Ireland – Monetary Policy Statement (June 2023) citing ECB decisions,ECB Rate Hikes (2023‑2024),False
Ireland,Manufacturing,positive,2024-2027,13.0,-1.92,8.52,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Irish Government – ""Manufacturing Growth Programme 2023"" (2023)",Manufacturing Growth Programme 2023,False
Ireland,Digital,positive,2024-2027,14.0,1.9,10.37,1.66,2.14,High,T5(70%) + DiD(30%),High,"Department of the Taoiseach – ""National Digital Strategy 2023‑2026"" (2023)",National Digital Strategy 2023‑2026,False
Ecuador,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation, Ecuador, 2023; UNCTAD World Investment Report 2023 – Ecuador chapter",Corporate Tax Increase 2024,False
Ecuador,Banking,positive,2024-2025,5.0,-0.99,3.2,-1.16,-0.83,High,T5(70%) + DiD(30%),High,"Banco Central del Ecuador, Monetary Policy Statement, Oct 2023",BCE Rate Cut Oct 2023,False
Ecuador,Manufacturing,positive,2024-2027,12.0,-1.92,3.65,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Ministerio de Producción, Decreto de Zona Económica Especial Guayas, 2023",Guayas Special Economic Zone,False
Ecuador,Digital,positive,2024-2027,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"World Bank, Ecuador Investment Climate Assessment 2023",Digital Ecuador 2025 Plan,False
China,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD - World Investment Report 2024,2023 Foreign Investment Catalog Update,False
China,Banking,negative,2024-2025,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF - Article IV Consultation China 2023,PBOC Reserve Requirement Ratio Cuts & Property Stress Measures,False
China,Manufacturing,positive,2024-2027,20.0,-1.92,13.42,-2.14,-1.71,High,T5(70%) + DiD(30%),High,World Bank - China Country Overview 2024,14th Five‑Year Plan (2022‑2027) – High‑End Manufacturing Boost,False
China,Digital,positive,2024-2026,15.0,1.9,11.07,1.66,2.14,High,T5(70%) + DiD(30%),High,China State Council - Digital Economy Development Plan 2023,Digital Economy Development Plan (2023‑2025),False
Portugal,FDI,positive,2024-2027,10.0,-3.19,6.04,-3.38,-3.0,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Portugal, 2023",FDI Attraction Strategy 2023-2027,False
Portugal,Banking,negative,2024-2025,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"European Central Bank – Monetary Policy Minutes, June 2023",ECB Rate Hikes 2023,False
Portugal,Manufacturing,positive,2024-2027,8.0,-1.92,5.02,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"World Bank – Portugal Country Overview, 2024",Industrial Strategy for the Digital Transition 2023,False
Portugal,Digital,positive,2024-2027,18.0,1.9,13.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"UNCTAD – World Investment Report 2024, Portugal Section",Digital Portugal 2025,False
Mauritius,FDI,positive,2024-2027,10.0,-3.19,6.04,-3.38,-3.0,High,T5(70%) + DiD(30%),High,"IMF, Article IV Consultation, Mauritius 2023",Mauritius Investment Facilitation Framework (MIF) 2023,False
Mauritius,Banking,negative,2024-2025,-9.0,1.32,-5.9,1.1,1.55,High,T5(70%) + DiD(30%),High,"Bank of Mauritius, Monetary Policy Statements 2024",Bank of Mauritius Policy Rate Increases 2024,False
Mauritius,Manufacturing,positive,2024-2027,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"World Bank, Mauritius Country Overview 2023",Special Economic Zone Tax Incentive Extension 2023,False
Mauritius,Digital,positive,2024-2025,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"UNCTAD, World Investment Report 2023 – Mauritius Section",National Broadband Policy 2022‑2025 Implementation,False
Singapore,FDI,positive,2024-2027,10.0,-3.19,6.04,-3.38,-3.0,High,T5(70%) + DiD(30%),High,World Bank – Singapore Investment Climate Assessment 2024,Enterprise Development Grant Expansion & Global Investor Programme Revision,False
Singapore,Banking,negative,2024-2025,-4.0,1.32,-2.4,1.1,1.55,High,T5(70%) + DiD(30%),High,"Monetary Authority of Singapore press release, 2023‑09‑15",MAS Counter‑Cyclical Capital Buffer Increase,False
Singapore,Manufacturing,positive,2024-2026,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Singapore, 2023",Advanced Manufacturing and Engineering Programme,False
Singapore,Digital,positive,2024-2027,13.0,1.9,9.67,1.66,2.14,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2024 – Singapore Chapter,National AI Strategy 2024,False
Switzerland,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"SNB, Press releases 2023‑2024",SNB Rate Hikes 2023‑2024,False
Switzerland,Banking,negative,2024-2025,-18.0,1.32,-12.2,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF, Staff Country Report 2023",Credit Suisse Resolution Aftermath,False
Switzerland,FDI,negative,2024-2026,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD, World Investment Report 2023",FDI Inflow Decline 2023,False
Switzerland,Digital,positive,2024-2027,9.0,1.9,6.87,1.66,2.14,High,T5(70%) + DiD(30%),High,"Swiss Federal Office of Communications, Digital Switzerland Strategy 2023",Digital Switzerland Strategy 2023‑2027,False
Cambodia,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank – Cambodia Investment Climate Assessment 2023,FDI Promotion Package 2023,False
Cambodia,Banking,negative,2024-2025,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF – Article IV Consultation, Cambodia, 2023",Credit Risk Management Guidelines 2024,False
Cambodia,Manufacturing,positive,2024-2027,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Ministry of Industry, Trade and MSMEs – Industrial Development Policy 2023‑2027",Industrial Development Policy 2023‑2027,False
Cambodia,Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"UNCTAD – World Investment Report 2024, Cambodia chapter",National Broadband Plan 2023‑2027,False
France,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – France, 2023",ECB Rate Hike Continuation 2023-2024,False
France,FDI,negative,2024-2027,-8.0,4.73,-4.18,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2024 – France Chapter,FDI Inflow Decline 2023‑2024,False
France,Manufacturing,positive,2024-2027,12.0,-1.92,3.65,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"World Bank – France Country Overview, 2023",Industrial Resilience Plan (Plan France Relance),False
France,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Ministry of Economy and Finance – Digital France 2025 announcement, 2023",Digital France 2025 Strategy,False
"Hong Kong SAR, China",FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD, World Investment Report 2023",2023-2024 FDI Promotion Package,False
"Hong Kong SAR, China",Banking,negative,2024-2025,-9.0,1.32,-5.9,1.1,1.55,High,T5(70%) + DiD(30%),High,"HKMA, 2024 Monetary Policy Statement",HKMA 2024 Monetary Policy Statement,False
"Hong Kong SAR, China",Manufacturing,positive,2024-2026,10.0,-1.92,2.85,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"World Bank, Hong Kong Country Overview 2023",Greater Bay Area (GBA) Manufacturing Incentives 2023,False
"Hong Kong SAR, China",Digital,positive,2024-2027,12.0,1.9,5.94,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"IMF, Article IV Consultation 2023",Smart City Blueprint 2023 Update,False
"Iran, Islamic Rep.",Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation 2023 – Iran, Islamic Rep.",Policy Rate Hike 2023,False
"Iran, Islamic Rep.",Banking,negative,2024-2027,-20.0,1.32,-7.21,1.1,1.55,Medium,T5(40%) + DiD(60%),High,"World Bank Country Overview 2023 – Iran, Islamic Rep.",Rising NPL Stress,False
"Iran, Islamic Rep.",FDI,negative,2024-2027,-20.0,4.73,-12.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD World Investment Report 2023 – Iran, Islamic Rep.",FDI Contraction 2023,False
"Iran, Islamic Rep.",Manufacturing,negative,2024-2027,-4.0,1.82,-0.51,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"Ministry of Industry Announcement 2023 – Iran, Islamic Rep.",Industrial Development Plan 2023‑27,False
"Korea, Rep.",Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF – Article IV Consultation, Republic of Korea, April 2023",BOK Rate Hikes 2023‑2024,False
"Korea, Rep.",FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD – World Investment Report 2023, Korea section",FDI Inflow Decline 2023,False
"Korea, Rep.",Manufacturing,positive,2024-2027,15.0,-1.92,4.85,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,MOTIE – Semiconductor Roadmap 2022‑2027; Green New Deal 2023,Semiconductor & Green New Deal Incentives,False
"Korea, Rep.",Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"World Bank – Country Overview, Republic of Korea, 2024",Digital New Deal & AI Strategy,False
Turkiye,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023 – Turkey Chapter,Investment Law Amendments 2023,False
Turkiye,Banking,negative,2024-2025,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Turkey, 2023 Staff Report",CBRT Rate Hike Cycle 2023‑2024,False
Turkiye,Manufacturing,negative,2024-2026,-8.0,1.82,-2.11,1.57,2.08,Medium,T5(40%) + DiD(60%),High,World Bank – Turkey Country Overview 2023,Manufacturing Competitiveness Programme 2023,False
Turkiye,Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,Ministry of Treasury and Finance – Digital Transformation Strategy 2023,Digital Transformation Strategy 2023,False
Belarus,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation, Belarus, 2023",Key Rate Hike 2023,False
Belarus,FDI,negative,2024-2027,-15.0,4.73,-9.08,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023 – Belarus Chapter,EU Sanctions & Capital Controls,False
Belarus,Manufacturing,negative,2024-2025,-8.0,1.82,-2.11,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"World Bank Country Overview, Belarus, 2023",Industrial Policy Stagnation,False
Belarus,Digital,negative,2024-2027,-4.0,3.28,-0.37,2.84,3.73,Medium,T5(40%) + DiD(60%),High,"Ministry of Digital Development of Belarus, 2023 decree",Digital Economy Strategy 2022‑2025,False
Czechia,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"Czech National Bank, Monetary Policy Decision 05 Oct 2023",Czech National Bank Rate Policy 2023-2024,False
Czechia,FDI,negative,2024-2025,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank, Czechia Investment Climate Assessment 2023",Investment Incentives Act 2023 – Limited Scope,False
Czechia,Manufacturing,positive,2024-2027,10.0,-1.92,6.42,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Ministry of Industry and Trade, Industrial Strategy 2025 (2023)",Industrial Strategy 2025 – Advanced Manufacturing Focus,False
Czechia,Digital,positive,2024-2026,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"UNCTAD, World Investment Report 2024 – Czechia",Digital Czechia 2025 Plan,False
Australia,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023 – Australia Chapter,FIRB Tightening 2023,False
Australia,Banking,negative,2024-2027,-13.0,1.32,-8.7,1.1,1.55,High,T5(70%) + DiD(30%),High,"Reserve Bank of Australia – Monetary Policy Decision, August 2023; February 2024",RBA Cash‑Rate Hikes 2023‑24,False
Australia,Manufacturing,positive,2024-2027,10.0,-1.92,6.42,-2.14,-1.71,High,T5(70%) + DiD(30%),High,Australian Treasury – Manufacturing Growth Strategy 2023‑2027,National Manufacturing Strategy 2023,False
Australia,Digital,positive,2024-2027,9.0,1.9,6.87,1.66,2.14,High,T5(70%) + DiD(30%),High,"Department of Industry, Science and Resources – Digital Economy Strategy 2023",Digital Economy Strategy 2023,False
Canada,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD – World Investment Report 2024, Canada chapter",Investment Canada Act Amendments 2023,False
Canada,Banking,negative,2024-2025,-8.0,1.32,-5.2,1.1,1.55,High,T5(70%) + DiD(30%),High,Bank of Canada – Monetary Policy Report 2023,Bank of Canada Rate Hikes 2022‑2023,False
Canada,Manufacturing,positive,2024-2026,8.0,-1.92,5.02,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Innovation, Science and Economic Development Canada – 2023‑2024 Budget Statement",Strategic Innovation Fund Expansion 2023,False
Canada,Digital,positive,2024-2027,10.0,1.9,7.57,1.66,2.14,High,T5(70%) + DiD(30%),High,Department of Innovation – National Digital Strategy 2023 Policy Brief,National Digital Strategy 2023,False
Italy,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"ECB Press Release, March 2024",ECB Rate Hikes 2024,False
Italy,Manufacturing,positive,2024-2027,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Ministero dello Sviluppo Economico, Policy Announcement 2023",Industry 4.0 Incentives,False
Italy,Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Ministero per l'Innovazione Tecnologica, Strategy Document 2023",Digital Italy 2025,False
Italy,FDI,negative,2024-2025,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD World Investment Report 2024, Italy Chapter",FDI Decline 2023,False
Puerto Rico,FDI,positive,2024-2027,12.0,-3.19,7.44,-3.38,-3.0,High,T5(70%) + DiD(30%),High,"World Bank, Puerto Rico Economic Update 2023",Incentives Code (Act 60) Extension 2023,False
Puerto Rico,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF, Article IV Consultation – Puerto Rico (2023)",Federal Reserve Rate Hikes 2023,False
Puerto Rico,Manufacturing,positive,2024-2026,6.0,-1.92,1.25,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"UNCTAD, World Investment Report 2024 – Puerto Rico Section",PRIDCO Advanced Manufacturing Initiative 2023,False
Puerto Rico,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"World Bank, Puerto Rico Country Overview 2023",Puerto Rico Digital Transformation Plan 2023,False
Hungary,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation, Hungary, 2023",MNB Policy Rate 2023-2024,False
Hungary,FDI,negative,2024-2027,-20.0,4.73,-12.58,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023 – Hungary chapter,FDI Inflow Decline 2023,False
Hungary,Manufacturing,positive,2024-2027,12.0,-1.92,3.65,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Ministry of Innovation and Technology, Hungary, 2023 policy announcement",National Development Strategy 2021‑2030 – Industry Incentives,False
Hungary,Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"World Bank, Hungary Country Overview and Investment Climate Assessment, 2024",Digital Hungary Broadband Expansion,False
Brazil,Banking,positive,2024-2027,9.0,-0.99,6.0,-1.16,-0.83,High,T5(70%) + DiD(30%),High,Banco Central do Brasil press releases 2024,Selic Rate Cuts 2024,False
Brazil,FDI,negative,2024-2025,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2024 – Brazil chapter,FDI Inflow Decline 2023-2024,False
Brazil,Manufacturing,positive,2024-2026,6.0,-1.92,1.25,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,World Bank – Brazil Investment Climate Assessment 2024,National Industrial Development Plan (PNDI),False
Brazil,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,IMF Article IV Consultation – Brazil 2024,National AI & Broadband Strategy 2024,False
Russian Federation,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Russian Federation; Central Bank of Russia press releases 2023-2024,Central Bank Rate Cycle 2023-2024,False
Russian Federation,FDI,negative,2024-2027,-15.0,4.73,-9.08,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023 – Russia; World Bank Country Overview 2024 – Investment Climate Assessment,Capital Controls and Sanctions Regime,False
Russian Federation,Manufacturing,positive,2024-2027,8.0,-1.92,2.05,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Ministry of Economic Development, Russia – SEZ Expansion Program 2023",Special Economic Zones Expansion 2023,False
Russian Federation,Digital,negative,2024-2027,-8.0,3.28,-1.23,2.84,3.73,Medium,T5(40%) + DiD(60%),High,"Ministry of Digital Development, Russia – Strategy Document 2023",Digital Economy Development Strategy 2024-2030,False
Serbia,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation, Serbia, 2023",National Bank of Serbia Rate Hikes 2023-2024,False
Serbia,FDI,negative,2024-2027,-8.0,4.73,-4.18,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank Serbia Investment Climate Assessment, 2023",Investment Incentives Law 2023 (Green FDI Focus),False
Serbia,Manufacturing,positive,2024-2027,10.0,-1.92,6.42,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Ministry of Economy, Serbia, Industrial Development Strategy 2022‑2027 (official document)",Industrial Development Strategy 2022‑2027,False
Serbia,Digital,positive,2024-2027,12.0,1.9,8.97,1.66,2.14,High,T5(70%) + DiD(30%),High,"Ministry of Information Society and Telecommunications, Digital Serbia 2025 Strategy, 2023",Digital Serbia 2025 Strategy,False
Slovenia,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation, Slovenia, 2023",ECB Rate Hikes 2023,False
Slovenia,FDI,negative,2024-2027,-8.0,4.73,-4.18,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank, Slovenia Investment Climate Assessment, 2023",Reduced Tax Incentives for FDI,False
Slovenia,Manufacturing,positive,2024-2027,12.0,-1.92,3.65,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Ministry of Economic Development, National Industrial Strategy 2023‑2027",National Industrial Strategy 2023‑2027,False
Slovenia,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"UNCTAD, World Investment Report 2023 – Slovenia Section",Digital Slovenia 2025 Strategy,False
Georgia,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF – ""Georgia: 2023 Article IV Consultation""",Monetary tightening cycle 2023-2024,False
Georgia,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank – ""Georgia Economic Update, June 2023""",FDI inflow slowdown 2023,False
Georgia,Manufacturing,positive,2024-2027,9.0,-1.92,5.72,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Georgia Ministry of Economy – ""Industrial Development Strategy 2022‑2027""",Industrial Development Strategy 2022‑2027,False
Georgia,Digital,positive,2024-2027,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"UNCTAD – ""World Investment Report 2023: Georgia""",Digital Georgia 2025 Strategy,False
Belgium,Banking,positive,2024-2027,10.0,-0.99,6.7,-1.16,-0.83,High,T5(70%) + DiD(30%),High,"ECB Monetary Policy Decision, June 2024; NB Belgium Statement",ECB Rate Cut June 2024,False
Belgium,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD World Investment Report 2023, Belgium chapter",EU Global Minimum Tax Implementation,False
Belgium,Manufacturing,positive,2024-2027,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Belgium Ministry of Economic Affairs, Industrial Strategy 2025 press release, March 2023",Advanced Manufacturing & Sustainable Industries Fund,False
